SOC,Occupation,Empl,Mean Ann Wages2,LQ,Unempl,Unempl Rate,Online Job Ads,Empl Change,Ann %,Total Demand,Exits,Transfers,Empl Growth,Ann % Growth
13-1121,"Meeting, Convention, and Event Planners",60,47400,0.87,n/a,n/a,n/a,8,0.03,6,2,3,0,0
15-1212,Information Security Analysts,60,118000,0.66,n/a,n/a,n/a,0,0.001,4,1,2,1,0.018
21-1091,Health Education Specialists,59,75400,1.74,n/a,n/a,n/a,-6,-0.018,6,3,3,0,0
21-1099,"Community and Social Service Specialists, All Other",59,42400,1.09,n/a,n/a,n/a,0,-0.001,6,3,3,0,0.001
43-4199,"Information and Record Clerks, All Other",57,45300,0.79,n/a,n/a,n/a,-18,-0.052,6,3,3,0,-0.004
43-5031,Public Safety Telecommunicators,57,39400,1.16,n/a,n/a,n/a,3,0.009,5,2,3,0,-0.002
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",57,51900,3.24,n/a,n/a,n/a,3,0.011,7,4,3,0,0.001
53-3052,"Bus Drivers, Transit and Intercity",57,48700,0.68,n/a,n/a,n/a,2,0.008,7,5,3,0,-0.001
31-9093,Medical Equipment Preparers,56,42000,1.44,n/a,n/a,n/a,4,0.016,7,3,4,0,0.004
13-2099,"Financial Specialists, All Other",55,66400,0.88,n/a,n/a,n/a,-11,-0.035,4,2,2,0,-0.001
15-1253,Software Quality Assurance Analysts and Testers,55,81400,0.54,n/a,n/a,n/a,-8,-0.026,3,1,2,0,0.002
23-2093,"Title Examiners, Abstractors, and Searchers",55,32600,2.24,n/a,n/a,n/a,-41,-0.106,5,2,3,0,0
15-1241,Computer Network Architects,54,123700,0.6,n/a,n/a,n/a,-6,-0.022,3,1,2,0,0.004
17-2141,Mechanical Engineers,54,109600,0.37,n/a,n/a,n/a,4,0.016,3,1,2,0,0.003
29-2081,"Opticians, Dispensing",54,48900,1.32,n/a,n/a,n/a,11,0.047,4,2,2,0,-0.004
33-1021,First-Line Supervisors of Firefighting and Prevention Workers,54,67400,1.16,n/a,n/a,n/a,3,0.013,3,1,2,0,-0.002
13-1131,Fundraisers,53,65800,0.97,n/a,n/a,n/a,10,0.044,4,2,2,0,-0.001
43-6012,Legal Secretaries and Administrative Assistants,51,62000,0.65,n/a,n/a,n/a,-15,-0.051,6,4,3,-1,-0.011
49-9051,Electrical Power-Line Installers and Repairers,51,91400,0.77,n/a,n/a,n/a,8,0.037,4,1,3,0,0.004
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",51,38300,1.04,n/a,n/a,n/a,-7,-0.027,6,2,3,0,-0.004
25-1072,"Nursing Instructors and Teachers, Postsecondary",50,71000,1.32,n/a,n/a,n/a,8,0.038,4,2,2,0,0.009
49-2098,Security and Fire Alarm Systems Installers,50,47700,1.2,n/a,n/a,n/a,4,0.018,5,2,3,0,0.006
51-3092,Food Batchmakers,50,45000,0.57,n/a,n/a,n/a,13,0.061,6,3,4,0,-0.001
15-2031,Operations Research Analysts,49,67100,0.91,n/a,n/a,n/a,-6,-0.023,4,2,1,1,0.014
25-1011,"Business Teachers, Postsecondary",49,93600,1.2,n/a,n/a,n/a,7,0.031,3,2,2,0,-0.003
25-2057,"Special Education Teachers, Middle School",49,67200,1.06,n/a,n/a,n/a,0,-0.001,3,2,2,0,-0.004
29-1031,Dietitians and Nutritionists,49,73900,1.23,n/a,n/a,n/a,4,0.015,3,2,1,0,0
11-3013,Facilities Managers,48,126000,0.67,n/a,n/a,n/a,-12,-0.043,4,2,2,0,-0.003
13-1141,"Compensation, Benefits, and Job Analysis Specialists",48,62100,0.92,n/a,n/a,n/a,-12,-0.042,3,1,2,0,-0.001
33-9094,School Bus Monitors,48,28300,1.31,n/a,n/a,n/a,5,0.021,8,6,3,0,-0.005
47-4011,Construction and Building Inspectors,48,66800,0.71,n/a,n/a,n/a,3,0.014,4,3,2,0,-0.006
17-2071,Electrical Engineers,47,130500,0.48,n/a,n/a,n/a,5,0.024,2,1,1,0,0
25-9044,"Teaching Assistants, Postsecondary",47,35900,0.62,n/a,n/a,n/a,6,0.025,6,3,3,0,-0.003
43-9021,Data Entry Keyers,47,40100,0.69,n/a,n/a,n/a,-30,-0.095,3,2,3,-2,-0.035
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",47,35500,0.19,n/a,n/a,n/a,6,0.028,6,3,4,0,-0.006
47-2181,Roofers,47,47000,0.68,n/a,n/a,n/a,-26,-0.085,3,1,2,0,0
47-3013,Helpers--Electricians,47,40100,1.43,n/a,n/a,n/a,-9,-0.034,4,2,3,0,-0.006
15-1231,Computer Network Support Specialists,46,66900,0.62,n/a,n/a,n/a,-8,-0.032,2,1,2,0,-0.006
31-2021,Physical Therapist Assistants,46,75700,0.81,n/a,n/a,n/a,1,0.003,7,2,4,0,0.009
53-6021,Parking Attendants,46,29700,0.67,n/a,n/a,n/a,9,0.046,6,2,4,0,-0.002
25-2032,"Career/Technical Education Teachers, Secondary School",45,66200,0.84,n/a,n/a,n/a,-1,-0.002,3,1,1,0,-0.004
31-9099,"Healthcare Support Workers, All Other",45,49100,0.84,n/a,n/a,n/a,-6,-0.026,6,3,3,0,0.001
19-5011,Occupational Health and Safety Specialists,44,91200,0.68,n/a,n/a,n/a,7,0.034,5,1,3,0,0.006
21-1023,Mental Health and Substance Abuse Social Workers,44,50900,0.66,n/a,n/a,n/a,5,0.025,4,2,2,0,0.005
29-1151,Nurse Anesthetists,44,239700,1.64,n/a,n/a,n/a,4,0.02,2,1,1,0,0.003
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",44,62900,0.57,n/a,n/a,n/a,-13,-0.05,3,1,2,0,-0.009
51-8031,Water and Wastewater Treatment Plant and System Operators,44,53900,0.66,n/a,n/a,n/a,3,0.016,3,1,2,-1,-0.014
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",43,124400,2.69,n/a,n/a,n/a,-16,-0.06,2,1,1,0,-0.002
33-1011,First-Line Supervisors of Correctional Officers,43,59500,1.57,n/a,n/a,n/a,-5,-0.021,3,1,2,0,-0.007
41-9099,"Sales and Related Workers, All Other",43,49100,0.81,n/a,n/a,n/a,-2,-0.009,5,2,3,0,-0.003
51-9161,Computer Numerically Controlled Tool Operators,43,52100,0.49,n/a,n/a,n/a,7,0.034,3,1,3,-1,-0.015
21-1092,Probation Officers and Correctional Treatment Specialists,42,59000,0.94,n/a,n/a,n/a,0,0,3,1,2,0,-0.003
39-1022,First-Line Supervisors of Personal Service Workers,42,49500,0.75,n/a,n/a,n/a,10,0.054,4,2,3,0,0
39-4021,Funeral Attendants,42,31800,2.75,n/a,n/a,n/a,4,0.019,7,4,3,0,-0.003
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",42,65900,1.37,n/a,n/a,n/a,0,-0.001,3,1,2,0,-0.012
29-1221,"Pediatricians, General",41,178100,1.83,n/a,n/a,n/a,2,0.01,1,1,0,0,-0.004
47-4051,Highway Maintenance Workers,41,38600,0.55,n/a,n/a,n/a,3,0.015,3,1,2,0,-0.003
29-2035,Magnetic Resonance Imaging Technologists,40,82200,1.84,n/a,n/a,n/a,2,0.008,2,1,1,0,0.002
35-9099,"Food Preparation and Serving Related Workers, All Other",40,27000,0.82,n/a,n/a,n/a,7,0.037,6,3,3,0,0.001
11-9041,Architectural and Engineering Managers,39,143300,0.37,n/a,n/a,n/a,1,0.004,2,1,2,0,-0.003
17-2199,"Engineers, All Other",38,81700,0.5,n/a,n/a,n/a,-6,-0.029,2,1,1,0,-0.004
31-9094,Medical Transcriptionists,38,41700,1.74,n/a,n/a,n/a,-28,-0.105,6,3,4,0,-0.011
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",38,31000,0.51,n/a,n/a,n/a,3,0.018,10,5,5,0,0
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",38,45200,0.81,n/a,n/a,n/a,-14,-0.059,3,2,2,0,-0.012
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",38,43200,0.49,n/a,n/a,n/a,-1,-0.003,4,2,2,0,-0.007
51-7011,Cabinetmakers and Bench Carpenters,38,42000,1,n/a,n/a,n/a,5,0.028,3,2,2,0,-0.008
53-3099,"Motor Vehicle Operators, All Other",38,40200,1.51,n/a,n/a,n/a,-9,-0.04,5,3,2,0,-0.002
15-2011,Actuaries,37,114900,2.63,n/a,n/a,n/a,-20,-0.083,2,1,1,1,0.016
29-1211,Anesthesiologists,37,235400,1.71,n/a,n/a,n/a,-1,-0.003,1,1,0,0,-0.002
43-4071,File Clerks,37,30800,0.94,n/a,n/a,n/a,-37,-0.128,3,2,2,-1,-0.022
43-4111,"Interviewers, Except Eligibility and Loan",37,37900,0.44,n/a,n/a,n/a,-5,-0.024,3,2,2,-1,-0.018
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",37,36900,1.2,n/a,n/a,n/a,-28,-0.107,4,2,2,0,-0.012
11-3061,Purchasing Managers,36,125200,0.86,n/a,n/a,n/a,2,0.01,2,1,2,0,-0.004
11-9039,"Education Administrators, All Other",36,130400,1.39,n/a,n/a,n/a,1,0.007,2,1,1,0,-0.002
29-1212,Cardiologists,36,396300,3.75,n/a,n/a,n/a,2,0.014,1,1,0,0,-0.001
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",36,47100,0.74,n/a,n/a,n/a,6,0.039,4,1,2,0,0
43-5021,Couriers and Messengers,36,38000,0.97,n/a,n/a,n/a,-8,-0.041,3,2,2,0,-0.007
51-2028,"Electrical, Electronic, and Electromechanical Equipment Assemblers, Except Coil Winders, Tapers, and Finishers",36,46700,0.27,n/a,n/a,n/a,3,0.02,4,2,2,0,-0.002
15-1242,Database Administrators,35,107600,0.94,n/a,n/a,n/a,-8,-0.04,1,1,1,0,-0.008
49-9043,"Maintenance Workers, Machinery",35,54200,1.19,n/a,n/a,n/a,2,0.012,3,1,1,0,-0.01
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",35,36500,0.54,n/a,n/a,n/a,5,0.03,3,1,2,0,-0.004
25-1081,"Education Teachers, Postsecondary",34,63400,1.15,n/a,n/a,n/a,3,0.021,2,1,1,0,-0.004
25-4031,Library Technicians,34,29300,0.91,n/a,n/a,n/a,1,0.006,5,3,3,0,-0.012
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,34,49800,0.53,n/a,n/a,n/a,7,0.044,4,2,2,0,-0.001
51-6031,Sewing Machine Operators,34,34500,0.63,n/a,n/a,n/a,-4,-0.022,3,2,2,-1,-0.016
51-9197,Tire Builders,34,47200,3.28,n/a,n/a,n/a,-17,-0.078,4,1,2,0,-0.003
29-9021,Health Information Technologists and Medical Registrars,33,55800,1.72,n/a,n/a,n/a,4,0.025,2,1,1,0,0.008
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",33,51200,1.93,n/a,n/a,n/a,0,0,3,1,2,0,-0.002
53-7063,Machine Feeders and Offbearers,33,40600,1.39,n/a,n/a,n/a,-14,-0.066,3,2,2,-1,-0.024
19-4099,"Life, Physical, and Social Science Technicians, All Other",32,46500,0.87,n/a,n/a,n/a,2,0.012,4,1,3,0,-0.003
39-9099,"Personal Care and Service Workers, All Other",32,28900,0.87,n/a,n/a,n/a,2,0.01,5,2,3,0,0.004
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,32,43900,1.87,n/a,n/a,n/a,1,0.006,3,1,1,0,-0.006
19-1042,"Medical Scientists, Except Epidemiologists",31,85000,0.39,n/a,n/a,n/a,5,0.036,2,0,1,0,0.002
41-9021,Real Estate Brokers,31,82100,1.13,n/a,n/a,n/a,-10,-0.055,3,1,1,0,0
51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",31,41100,4.17,n/a,n/a,n/a,-13,-0.066,3,2,2,0,-0.016
17-3011,Architectural and Civil Drafters,30,66300,0.54,n/a,n/a,n/a,-1,-0.006,2,1,1,0,-0.001
31-1133,Psychiatric Aides,30,34700,1.53,n/a,n/a,n/a,0,0,4,2,2,0,-0.007
39-5092,Manicurists and Pedicurists,30,29400,0.39,n/a,n/a,n/a,10,0.087,3,1,2,0,0.003
49-9044,Millwrights,30,63700,1.44,n/a,n/a,n/a,3,0.025,2,1,1,0,-0.008
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",30,36900,0.97,n/a,n/a,n/a,-1,-0.009,3,1,2,0,-0.008
51-9011,Chemical Equipment Operators and Tenders,30,51200,0.47,n/a,n/a,n/a,10,0.083,3,1,2,0,-0.012
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",30,43700,2.13,n/a,n/a,n/a,-3,-0.018,3,1,2,0,-0.009
15-1243,Database Architects,29,130400,0.88,n/a,n/a,n/a,-6,-0.038,1,1,1,0,0.001
19-3033,Clinical and Counseling Psychologists,29,59200,0.73,n/a,n/a,n/a,6,0.044,2,1,1,0,0.004
19-4061,Social Science Research Assistants,29,60800,1.71,n/a,n/a,n/a,4,0.032,3,1,3,0,-0.003
29-1224,Radiologists,29,329800,2.09,n/a,n/a,n/a,1,0.006,1,1,0,0,-0.002
29-9099,"Healthcare Practitioners and Technical Workers, All Other",29,72900,1.5,n/a,n/a,n/a,1,0.01,2,1,1,0,-0.001
33-1091,First-Line Supervisors of Security Workers,29,61000,0.8,n/a,n/a,n/a,-1,-0.007,3,1,2,0,-0.004
47-2141,"Painters, Construction and Maintenance",29,46800,0.26,n/a,n/a,n/a,-25,-0.117,2,1,1,0,-0.003
51-2041,Structural Metal Fabricators and Fitters,29,52000,1.08,n/a,n/a,n/a,3,0.02,2,1,2,-1,-0.022
15-1255,Web and Digital Interface Designers,28,97800,0.5,n/a,n/a,n/a,0,0,2,1,1,0,0
25-1123,"English Language and Literature Teachers, Postsecondary",28,66500,0.94,n/a,n/a,n/a,3,0.019,2,1,1,0,-0.005
29-2056,Veterinary Technologists and Technicians,28,36900,0.42,n/a,n/a,n/a,4,0.03,3,1,2,0,0.003
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,28,35100,0.47,n/a,n/a,n/a,4,0.03,5,2,3,0,0.003
13-1032,"Insurance Appraisers, Auto Damage",27,72900,6.6,n/a,n/a,n/a,-31,-0.141,1,1,1,0,-0.014
13-2054,Financial Risk Specialists,27,109000,0.92,n/a,n/a,n/a,-8,-0.052,2,1,1,0,0.001
21-1013,Marriage and Family Therapists,27,64100,0.69,n/a,n/a,n/a,8,0.073,2,1,1,0,0.007
21-2011,Clergy,27,58600,0.89,n/a,n/a,n/a,3,0.023,2,1,1,0,0.001
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",27,43600,1.08,n/a,n/a,n/a,-5,-0.035,3,1,2,0,-0.011
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",27,48300,3.26,n/a,n/a,n/a,0,0,3,2,2,0,-0.009
13-2041,Credit Analysts,26,79500,0.75,n/a,n/a,n/a,-8,-0.055,1,0,1,0,-0.01
15-1251,Computer Programmers,26,97800,0.48,n/a,n/a,n/a,-36,-0.157,1,1,1,0,-0.011
17-3026,Industrial Engineering Technologists and Technicians,26,68800,0.7,n/a,n/a,n/a,3,0.022,2,1,1,0,-0.007
19-3034,School Psychologists,26,76200,0.84,n/a,n/a,n/a,-6,-0.039,1,1,1,0,-0.002
25-1042,"Biological Science Teachers, Postsecondary",26,95500,1,n/a,n/a,n/a,3,0.023,2,1,1,0,0
25-1066,"Psychology Teachers, Postsecondary",26,79200,1.26,n/a,n/a,n/a,4,0.036,2,1,1,0,-0.004
29-9091,Athletic Trainers,26,66000,1.81,n/a,n/a,n/a,4,0.036,2,1,1,0,0.005
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",26,28600,0.42,n/a,n/a,n/a,12,0.139,6,3,3,0,-0.007
39-4031,"Morticians, Undertakers, and Funeral Arrangers",26,53100,1.96,n/a,n/a,n/a,5,0.044,3,1,2,0,-0.003
43-3061,Procurement Clerks,26,47400,0.87,n/a,n/a,n/a,-4,-0.027,2,1,1,0,-0.014
43-4151,Order Clerks,26,42800,0.61,n/a,n/a,n/a,-17,-0.096,2,1,2,-1,-0.024
49-9052,Telecommunications Line Installers and Repairers,26,59300,0.54,n/a,n/a,n/a,-10,-0.063,2,1,1,0,-0.008
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",26,53000,3.2,n/a,n/a,n/a,0,-0.002,3,1,2,0,-0.005
13-2023,Appraisers and Assessors of Real Estate,25,51700,0.96,n/a,n/a,n/a,-5,-0.039,2,1,1,0,-0.001
25-1022,"Mathematical Science Teachers, Postsecondary",25,67800,0.99,n/a,n/a,n/a,2,0.021,2,1,1,0,-0.004
25-2059,"Special Education Teachers, All Other",25,84000,1.27,n/a,n/a,n/a,0,0.003,2,1,1,0,-0.002
27-2012,Producers and Directors,25,65300,0.34,n/a,n/a,n/a,-7,-0.045,2,1,1,0,-0.002
31-9011,Massage Therapists,25,58500,0.49,n/a,n/a,n/a,5,0.045,4,2,1,0,0.016
37-3013,Tree Trimmers and Pruners,25,44100,1.01,n/a,n/a,n/a,-1,-0.006,3,1,2,0,-0.002
39-5094,Skincare Specialists,25,46600,0.68,n/a,n/a,n/a,7,0.066,3,1,2,0,0.001
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",25,39300,0.34,n/a,n/a,n/a,-4,-0.033,3,1,2,0,-0.004
11-2032,Public Relations Managers,24,137800,0.61,n/a,n/a,n/a,2,0.015,2,1,1,0,-0.001
13-1075,Labor Relations Specialists,24,71200,0.76,n/a,n/a,n/a,-1,-0.007,2,1,1,0,-0.006
13-2082,Tax Preparers,24,40600,0.64,n/a,n/a,n/a,-5,-0.035,3,1,1,0,-0.001
17-1011,"Architects, Except Landscape and Naval",24,113600,0.42,n/a,n/a,n/a,-1,-0.009,1,1,1,0,-0.001
23-2099,"Legal Support Workers, All Other",24,57800,1.07,n/a,n/a,n/a,-2,-0.014,2,1,1,0,-0.006
25-1021,"Computer Science Teachers, Postsecondary",24,92100,1.29,n/a,n/a,n/a,2,0.021,2,1,1,0,-0.001
27-1025,Interior Designers,24,68200,0.69,n/a,n/a,n/a,3,0.025,2,1,1,0,-0.003
29-1041,Optometrists,24,127500,1.09,n/a,n/a,n/a,7,0.075,1,1,0,0,0.004
49-2011,"Computer, Automated Teller, and Office Machine Repairers",24,43300,0.65,n/a,n/a,n/a,-9,-0.06,2,1,1,0,-0.005
49-9062,Medical Equipment Repairers,24,58700,0.76,n/a,n/a,n/a,1,0.013,2,1,1,0,0.006
13-2031,Budget Analysts,23,84900,1,n/a,n/a,n/a,-4,-0.03,1,1,1,0,-0.004
13-2081,"Tax Examiners and Collectors, and Revenue Agents",23,61900,0.81,n/a,n/a,n/a,3,0.029,2,1,1,0,-0.006
27-3091,Interpreters and Translators,23,59900,0.85,n/a,n/a,n/a,4,0.037,2,1,1,0,-0.001
47-2051,Cement Masons and Concrete Finishers,23,47700,0.22,n/a,n/a,n/a,2,0.022,2,1,1,0,0
11-9031,"Education and Childcare Administrators, Preschool and Daycare",22,50600,0.6,n/a,n/a,n/a,7,0.078,1,1,1,0,-0.008
13-2061,Financial Examiners,22,84000,0.68,n/a,n/a,n/a,-2,-0.017,2,1,1,0,0.01
17-3023,Electrical and Electronic Engineering Technologists and Technicians,22,77600,0.47,n/a,n/a,n/a,-6,-0.047,2,1,1,0,-0.005
29-9093,Surgical Assistants,22,53500,1.88,n/a,n/a,n/a,4,0.046,1,1,1,0,-0.001
11-9081,Lodging Managers,21,62200,0.99,n/a,n/a,n/a,-1,-0.014,2,1,1,0,0.003
23-1023,"Judges, Magistrate Judges, and Magistrates",21,122200,1.42,n/a,n/a,n/a,0,0.004,1,0,0,0,-0.003
29-1129,"Therapists, All Other",21,67600,2.03,n/a,n/a,n/a,3,0.034,1,1,1,0,0.003
29-1242,"Orthopedic Surgeons, Except Pediatric",21,334600,2.77,n/a,n/a,n/a,-3,-0.025,0,0,0,0,-0.001
31-2011,Occupational Therapy Assistants,21,75600,0.83,n/a,n/a,n/a,1,0.009,3,1,2,0,0.008
41-3011,Advertising Sales Agents,21,40400,0.44,n/a,n/a,n/a,-8,-0.058,2,1,1,0,-0.013
41-9041,Telemarketers,21,30100,0.64,n/a,n/a,n/a,-44,-0.202,2,1,2,-1,-0.03
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",21,37200,0.89,n/a,n/a,n/a,-6,-0.049,2,1,1,0,-0.001
11-3131,Training and Development Managers,20,84800,0.91,n/a,n/a,n/a,-2,-0.021,1,0,1,0,0
11-9121,Natural Sciences Managers,20,105900,0.39,n/a,n/a,n/a,3,0.027,1,0,1,0,-0.003
17-3022,Civil Engineering Technologists and Technicians,20,61400,0.62,n/a,n/a,n/a,-3,-0.025,2,1,1,0,-0.003
19-2041,"Environmental Scientists and Specialists, Including Health",20,79700,0.47,n/a,n/a,n/a,-4,-0.036,2,0,1,0,-0.002
21-1029,"Social Workers, All Other",20,83000,0.58,n/a,n/a,n/a,-4,-0.036,2,1,1,0,-0.002
29-1218,Obstetricians and Gynecologists,20,282100,1.83,n/a,n/a,n/a,-2,-0.016,0,0,0,0,-0.004
15-1254,Web Developers,19,81900,0.48,n/a,n/a,n/a,0,-0.001,1,0,1,0,0
27-1023,Floral Designers,19,32000,0.98,n/a,n/a,n/a,1,0.01,2,1,1,0,-0.011
29-1131,Veterinarians,19,122200,0.45,n/a,n/a,n/a,2,0.024,0,0,0,0,0.003
33-9021,Private Detectives and Investigators,19,54300,0.97,n/a,n/a,n/a,-1,-0.006,1,1,1,0,-0.001
33-9091,Crossing Guards and Flaggers,19,37500,0.42,n/a,n/a,n/a,-1,-0.005,3,3,1,0,-0.003
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",19,45900,0.8,n/a,n/a,n/a,7,0.097,1,1,1,0,-0.003
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",19,53100,0.58,n/a,n/a,n/a,-2,-0.024,2,1,1,0,-0.007
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",19,41000,0.9,n/a,n/a,n/a,0,-0.001,2,1,1,0,-0.007
11-2033,Fundraising Managers,18,115000,0.96,n/a,n/a,n/a,1,0.013,1,0,1,0,-0.002
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",18,65600,0.56,n/a,n/a,n/a,0,-0.005,1,1,1,0,-0.005
25-1112,"Law Teachers, Postsecondary",18,121800,1.93,n/a,n/a,n/a,4,0.046,1,1,1,0,-0.005
27-2021,Athletes and Sports Competitors,18,219400,2.24,n/a,n/a,n/a,11,0.204,2,0,1,0,0
31-9095,Pharmacy Aides,18,35900,0.89,n/a,n/a,n/a,-1,-0.014,3,1,2,0,-0.005
37-2019,"Building Cleaning Workers, All Other",18,29100,1.97,n/a,n/a,n/a,-1,-0.009,3,1,1,0,-0.002
39-6012,Concierges,18,35200,0.8,n/a,n/a,n/a,2,0.019,3,1,2,0,-0.003
51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",18,39900,1.71,n/a,n/a,n/a,-3,-0.033,2,1,1,0,-0.016
13-2071,Credit Counselors,17,52700,1.21,n/a,n/a,n/a,1,0.007,1,0,1,0,-0.003
19-3051,Urban and Regional Planners,17,63300,0.77,n/a,n/a,n/a,0,0.005,1,0,1,0,-0.002
19-5012,Occupational Health and Safety Technicians,17,52400,1.09,n/a,n/a,n/a,3,0.042,2,0,1,0,0.001
21-1015,Rehabilitation Counselors,17,47500,0.37,n/a,n/a,n/a,-2,-0.026,2,1,1,0,-0.002
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",17,42800,0.96,n/a,n/a,n/a,0,0.003,2,1,1,0,-0.019
27-3011,Broadcast Announcers and Radio Disc Jockeys,17,51600,1.48,n/a,n/a,n/a,-3,-0.034,1,1,1,0,-0.014
27-4011,Audio and Video Technicians,17,55200,0.48,n/a,n/a,n/a,4,0.061,1,0,1,0,-0.002
29-1223,Psychiatrists,17,231800,1.26,n/a,n/a,n/a,1,0.009,0,0,0,0,0.001
29-2033,Nuclear Medicine Technologists,17,87100,1.85,n/a,n/a,n/a,-3,-0.034,1,0,0,0,-0.002
43-2011,"Switchboard Operators, Including Answering Service",17,36800,0.89,n/a,n/a,n/a,-19,-0.14,1,1,1,-1,-0.033
43-4121,"Library Assistants, Clerical",17,33600,0.45,n/a,n/a,n/a,1,0.011,3,1,1,0,-0.012
43-5011,Cargo and Freight Agents,17,54900,0.34,n/a,n/a,n/a,2,0.033,1,0,1,0,0.001
49-3041,Farm Equipment Mechanics and Service Technicians,17,51000,0.89,n/a,n/a,n/a,10,0.204,1,1,1,0,0.004
53-7021,Crane and Tower Operators,17,64000,0.8,n/a,n/a,n/a,2,0.025,1,0,1,0,-0.005
17-2072,"Electronics Engineers, Except Computer",16,126600,0.33,n/a,n/a,n/a,-6,-0.059,1,0,0,0,0
29-1181,Audiologists,16,95500,2.03,n/a,n/a,n/a,-1,-0.012,1,0,0,0,0
33-9099,"Protective Service Workers, All Other",16,35000,0.4,n/a,n/a,n/a,-1,-0.012,4,2,2,0,-0.003
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",16,46900,0.47,n/a,n/a,n/a,0,-0.002,1,1,1,0,-0.013
51-4199,"Metal Workers and Plastic Workers, All Other",16,40500,1.58,n/a,n/a,n/a,-6,-0.065,1,1,1,0,-0.013
51-8099,"Plant and System Operators, All Other",16,60600,2.02,n/a,n/a,n/a,4,0.062,1,0,1,0,-0.004
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",16,49500,0.59,n/a,n/a,n/a,2,0.031,1,0,1,0,-0.011
11-9171,Funeral Home Managers,15,87700,2.26,n/a,n/a,n/a,4,0.055,1,0,1,0,-0.003
19-1029,"Biological Scientists, All Other",15,71800,0.51,n/a,n/a,n/a,1,0.008,1,0,1,0,-0.005
21-1094,Community Health Workers,15,48800,0.48,n/a,n/a,n/a,2,0.033,2,1,1,0,0.007
25-1032,"Engineering Teachers, Postsecondary",15,134200,0.72,n/a,n/a,n/a,2,0.026,1,1,0,0,0.001
29-1124,Radiation Therapists,15,94800,1.59,n/a,n/a,n/a,0,0.002,1,0,0,0,-0.003
29-2051,Dietetic Technicians,15,36400,1,n/a,n/a,n/a,1,0.012,2,1,1,0,-0.003
31-2022,Physical Therapist Aides,15,30700,0.67,n/a,n/a,n/a,-5,-0.056,2,1,1,0,-0.012
11-1031,Legislators,14,59500,1.09,n/a,n/a,n/a,1,0.014,1,0,1,0,-0.002
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",14,90300,0.14,n/a,n/a,n/a,4,0.07,1,1,0,0,-0.003
17-1022,Surveyors,14,67800,0.5,n/a,n/a,n/a,-1,-0.009,1,0,0,0,-0.001
21-1019,"Counselors, All Other",14,62100,0.75,n/a,n/a,n/a,1,0.015,1,1,1,0,0.003
25-1125,"History Teachers, Postsecondary",14,75300,1.45,n/a,n/a,n/a,1,0.02,1,1,0,0,-0.006
27-3041,Editors,14,71400,0.3,n/a,n/a,n/a,-7,-0.075,1,1,1,0,-0.003
33-3011,Bailiffs,14,92500,1.4,n/a,n/a,n/a,1,0.008,1,1,1,0,-0.008
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",14,37000,1.01,n/a,n/a,n/a,-2,-0.024,2,1,1,0,-0.002
39-7011,Tour Guides and Escorts,14,35200,0.52,n/a,n/a,n/a,2,0.025,3,1,2,0,0.001
41-3041,Travel Agents,14,46400,0.47,n/a,n/a,n/a,3,0.05,1,1,1,0,-0.004
